,number,state,value,datetime_start,datetime_complete,params,params,params,params,params,system_attrs
,,,,,,lambda1_dim1,lambda1_dim2,lambda2_dim1,lambda2_dim2,learning_rate,_number
99,99,TrialState.COMPLETE,0.5268944799900055,2019-08-12 16:15:57.485099,2019-08-12 16:17:19.716383,5.204606485317973e-06,6.949983083915674e-06,0.35000000000000003,0.5,2.9887497108642412e-06,99
100,100,TrialState.COMPLETE,0.48544853925704956,2019-08-12 16:17:19.730293,2019-08-12 16:18:41.917262,2.0769955938102978e-05,3.8688822212178265e-06,0.35000000000000003,0.5,0.00024250001549276862,100
101,101,TrialState.COMPLETE,0.42210035026073456,2019-08-12 16:18:41.931289,2019-08-12 16:20:04.250979,5.493765625317513e-05,1.0952147874175054e-05,0.35000000000000003,0.5,0.0001083560706447575,101
102,102,TrialState.COMPLETE,0.4461981952190399,2019-08-12 16:20:04.265361,2019-08-12 16:21:26.334454,3.487604733917434e-05,1.4280555930756749e-05,0.35000000000000003,0.5,0.00014424363548964364,102
103,103,TrialState.COMPLETE,0.37209154665470123,2019-08-12 16:21:26.348734,2019-08-12 16:22:48.526199,9.658432492178896e-05,4.341604251244344e-05,0.35000000000000003,0.5,5.072009028545604e-05,103
104,104,TrialState.COMPLETE,0.4597803056240082,2019-08-12 16:22:48.540748,2019-08-12 16:24:10.754752,1.0501441595891378e-06,3.8281295274760685e-05,0.35000000000000003,0.8,4.771745511930807e-05,104
105,105,TrialState.COMPLETE,0.4819798320531845,2019-08-12 16:24:10.769309,2019-08-12 16:25:33.206018,9.3460745458256e-05,0.00010020242530511989,0.35000000000000003,0.8,8.176406180020402e-06,105
106,106,TrialState.COMPLETE,0.4654616415500641,2019-08-12 16:25:33.220878,2019-08-12 16:26:54.904754,1.2451373265340218e-05,4.9512709963111775e-05,0.35000000000000003,0.8,1.4773067985602991e-05,106
107,107,TrialState.COMPLETE,0.5825696885585785,2019-08-12 16:26:54.919757,2019-08-12 16:28:16.455272,1.3659649007887775e-06,1.779421786322119e-05,0.35000000000000003,0.8,6.275050452707698e-06,107
108,108,TrialState.COMPLETE,0.4801267385482788,2019-08-12 16:28:16.470465,2019-08-12 16:29:38.883094,0.00011644350845954404,0.00020935588283609984,0.35000000000000003,0.8,2.9313025623936097e-05,108
109,109,TrialState.COMPLETE,0.4702777713537216,2019-08-12 16:29:38.898530,2019-08-12 16:31:00.292727,9.336787256160757e-06,0.00028240954160405236,0.35000000000000003,0.8,3.7616978647447206e-05,109
110,110,TrialState.COMPLETE,0.5054134726524353,2019-08-12 16:31:00.307994,2019-08-12 16:32:22.074676,1.5440321235878997e-05,3.4967304001500155e-06,0.35000000000000003,0.8,2.148822797412972e-05,110
111,111,TrialState.COMPLETE,0.3927580565214157,2019-08-12 16:32:22.090146,2019-08-12 16:33:43.822544,3.01256364189963e-06,5.9908358990307034e-06,0.35000000000000003,0.8,8.814253041760823e-05,111
112,112,TrialState.COMPLETE,0.4976368248462677,2019-08-12 16:33:43.838209,2019-08-12 16:35:06.341227,4.342587967070248e-06,6.970493671811559e-05,0.35000000000000003,0.8,7.722058981511217e-05,112
113,113,TrialState.COMPLETE,0.6134743988513947,2019-08-12 16:35:06.356945,2019-08-12 16:36:30.788868,2.3388501053039595e-05,0.0005030013813787815,0.35000000000000003,0.8,4.511814181215997e-06,113
114,114,TrialState.COMPLETE,0.6651069223880768,2019-08-12 16:36:30.804624,2019-08-12 16:37:55.181682,1.7302032790562435e-06,1.2175972540617006e-06,0.35000000000000003,0.8,1.0544831762805284e-06,114
115,115,TrialState.COMPLETE,0.4114968776702881,2019-08-12 16:37:55.197837,2019-08-12 16:39:19.774783,6.886516832893568e-05,1.1484031829620525e-05,0.35000000000000003,0.8,6.447802331308058e-05,115
116,116,TrialState.COMPLETE,0.46669191122055054,2019-08-12 16:39:19.791049,2019-08-12 16:40:47.735856,0.0075131432450628,0.0003855883640981586,0.35000000000000003,0.8500000000000001,5.5039044868186294e-05,116
117,117,TrialState.COMPLETE,0.5789362490177155,2019-08-12 16:40:47.752323,2019-08-12 16:42:15.444760,0.0007563243390126813,4.653895067461371e-06,0.35000000000000003,0.8,1.0036457064565256e-05,117
118,118,TrialState.COMPLETE,0.41831323504447937,2019-08-12 16:42:15.461418,2019-08-12 16:43:39.575817,6.904479492793356e-06,8.061320566833481e-06,0.35000000000000003,0.8500000000000001,0.00013226803926152752,118
119,119,TrialState.COMPLETE,0.440053790807724,2019-08-12 16:43:39.592379,2019-08-12 16:45:04.447077,5.062067595385003e-05,3.2253744906012996e-05,0.35000000000000003,0.8,1.8714404865416665e-05,119
120,120,TrialState.COMPLETE,0.32355690002441406,2019-08-12 16:45:04.463804,2019-08-12 16:46:28.129284,0.00023383471386947082,8.765864587228245e-05,0.35000000000000003,0.8500000000000001,0.0002707171596165319,120
121,121,TrialState.COMPLETE,0.43493790924549103,2019-08-12 16:46:28.147095,2019-08-12 16:47:53.318263,0.00162987192860909,0.0018750468488441603,0.35000000000000003,0.5,0.00027285082526590893,121
122,122,TrialState.COMPLETE,0.4395565837621689,2019-08-12 16:47:53.336025,2019-08-12 16:49:17.160902,0.0005287830445854439,0.0006405254390484971,0.3,0.5,0.0005436064327483586,122
123,123,TrialState.COMPLETE,0.4445331394672394,2019-08-12 16:49:17.178130,2019-08-12 16:50:40.843804,0.0021647267928486627,0.004544390086107098,0.15000000000000002,0.55,0.0008064272933691226,123
124,124,TrialState.COMPLETE,0.3942461162805557,2019-08-12 16:50:40.861057,2019-08-12 16:52:05.183021,0.0012551130557631727,0.00011956575484525501,0.15000000000000002,0.5,0.0007106413216414779,124
125,125,TrialState.COMPLETE,0.4082605391740799,2019-08-12 16:52:05.200411,2019-08-12 16:53:29.962979,0.0006686330744709927,0.0010767136494170423,0.3,0.5,0.00042334758405106025,125
126,126,TrialState.COMPLETE,0.3857366591691971,2019-08-12 16:53:29.980725,2019-08-12 16:54:52.710733,0.0002346515188016914,0.008923596425775528,0.3,0.55,0.00011065075946831522,126
127,127,TrialState.COMPLETE,0.40539079904556274,2019-08-12 16:54:52.728284,2019-08-12 16:56:15.448573,0.00018582111685729518,0.002825392381074843,0.3,0.5,0.0002983577273357988,127
128,128,TrialState.COMPLETE,0.4620954394340515,2019-08-12 16:56:15.466307,2019-08-12 16:57:43.307379,0.0028240750850007062,2.0702681690351446e-06,0.3,0.55,0.0009317316317673777,128
129,129,TrialState.COMPLETE,0.5095026195049286,2019-08-12 16:57:43.325414,2019-08-12 16:59:11.372090,0.00036671279285680576,0.00021993556419483564,0.3,0.5,0.00021633754088796765,129
130,130,TrialState.COMPLETE,0.45152726769447327,2019-08-12 16:59:11.390177,2019-08-12 17:00:43.297105,0.0008880276106100442,0.00015911499848448842,0.5,0.5,0.00016188953758566462,130
